Scrape version,scrape_phase,creator_username,niche,post_id,post_url,post_type,posted_at,scraped_at,caption,hashtags,hashtag_count,views,likes,comments_count,shares,scrape_mode,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,CxLZYs0KxI0,https://www.instagram.com/the.sleepyhead_/reel/CxLZYs0KxI0/,reel,14-Sep-23,2026-02-04T00:00:00+05:30,Your fav look💃💓💕,,0,null,2M,5.6K,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,C4GGkVEqTMW,https://www.instagram.com/the.sleepyhead_/reel/C4GGkVEqTMW/,reel,04-Mar-24,2026-02-04T00:00:00+05:30,Koi hai kya kadhi khichadi lover?😋😍,,0,null,362.5K,4.6K,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DUQTspzEmwx,https://www.instagram.com/the.sleepyhead_/reel/DUQTspzEmwx/,reel,1 day ago,2026-02-04T00:00:00+05:30,"When you're someone's dua, not just their choice ✨😍 #foryou #trendingsongs #khat #trendingreels #traditional",#foryou #trendingsongs #khat #trendingreels #traditional,5,null,10.9K,63,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DUIp1VgiDC2,https://www.instagram.com/the.sleepyhead_/reel/DUIp1VgiDC2/,reel,4 days ago,2026-02-04T00:00:00+05:30,Fun Friday with Aarti ✨ Episode 2 — Clothing haul 🖤 which one is your favourite?😍🤩,,0,null,2.2K,83,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DT5c79FkvKB,https://www.instagram.com/the.sleepyhead_/reel/DT5c79FkvKB/,reel,Jan-24,2026-02-04T00:00:00+05:30,💗😍#trendingreels #traditional #explorepage #foryou #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp,#trendingreels #traditional #explorepage #foryou #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp,5,null,9.2K,62,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DT4_1EzCJK-,https://www.instagram.com/the.sleepyhead_/reel/DT4_1EzCJK-/,reel,Jan-24,2026-02-04T00:00:00+05:30,Celebrating the launch of @newme.stores at Nexus westend mall 💗 Buy 1 Get 1 for first 50 customers Flat 20% off later...🛍️ #newme #newmestores,#newme #newmestores,2,null,2.1K,21,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DT2gkUIEpOn,https://www.instagram.com/the.sleepyhead_/reel/DT2gkUIEpOn/,reel,Jan-23,2026-02-04T00:00:00+05:30,Fun Friday with Aarti ✨ Episode 1 — GRWM for Pratishirdi Temple 🖤,,0,null,5K,106,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DT0OiY-CCCg,https://www.instagram.com/the.sleepyhead_/reel/DT0OiY-CCCg/,reel,Jan-22,2026-02-04T00:00:00+05:30,💗 . . . #saree #foryou #traditional #transition #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp,#saree #foryou #traditional #transition #fyppppppppppppppppppppppppppppppppppppppppppppppppppppppp,5,null,15.2K,90,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DTxuMqgiPVa,https://www.instagram.com/the.sleepyhead_/reel/DTxuMqgiPVa/,reel,Jan-21,2026-02-04T00:00:00+05:30,QUBOOL HAI🌺 shot by @creative.mastak_,,0,null,5.9K,90,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DTu5SWMEtvr,https://www.instagram.com/the.sleepyhead_/reel/DTu5SWMEtvr/,reel,Jan-20,2026-02-04T00:00:00+05:30,It's always in the eyes👀💗✨,,0,null,64.2K,263,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DTsZ9l7EuGg,https://www.instagram.com/the.sleepyhead_/reel/DTsZ9l7EuGg/,reel,Jan-19,2026-02-04T00:00:00+05:30,Comment "Red" to get the saree link🔗 Also Use my code AARTI10 to get 10% OFF 👈🏻,,0,null,2.5K,50,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DTiAvDwkrUY,https://www.instagram.com/the.sleepyhead_/reel/DTiAvDwkrUY/,reel,Jan-15,2026-02-04T00:00:00+05:30,💗,,0,null,7.8K,84,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DTLQ7y-iGsd,https://www.instagram.com/the.sleepyhead_/reel/DTLQ7y-iGsd/,reel,Jan-06,2026-02-04T00:00:00+05:30,Currently on Loop💙 #Aadat @yoyohoneysingh @apdhillon,#Aadat,1,null,25.5K,174,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DTCeeuaEjyD,https://www.instagram.com/the.sleepyhead_/reel/DTCeeuaEjyD/,reel,Jan-03,2026-02-04T00:00:00+05:30,FINALLY💗😊,,0,null,3.8K,47,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DS7OzDniGl8,https://www.instagram.com/the.sleepyhead_/reel/DS7OzDniGl8/,reel,31-Dec-25,2026-02-04T00:00:00+05:30,"If this song feels like your story too, don't give up. See you rising in 2026 🖤 @rahgirlive what a beautiful song💗",,0,null,6.6K,106,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DS4_nL_iAgR,https://www.instagram.com/the.sleepyhead_/reel/DS4_nL_iAgR/,reel,30-Dec-25,2026-02-04T00:00:00+05:30,comment "link" to get the dress link🥰 #myntrafinds #foryou #haul #burgandy #dress,#myntrafinds #foryou #haul #burgandy #dress,5,null,11.8K,5.2K,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,the.sleepyhead_,Beauty,DSxgLOlEo9Q,https://www.instagram.com/the.sleepyhead_/reel/DSxgLOlEo9Q/,reel,27-Dec-25,2026-02-04T00:00:00+05:30,comment "link" to get the saree link Reposting this because y'all missed it 👗✨😊💗,,0,null,10.9K,122,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,C8jBmwlqbmp,https://www.instagram.com/Ashwiniisharmaa/reel/C8jBmwlqbmp/,reel,01-Jun-24,2026-02-04T00:00:00+05:30,This has to be my best Amazon finds!! Blister & puffs have totally revolutionized my makeup game,,0,null,14.8K,2.4K,null,visible_ui_only,,,,,,,,,,,,,,,,
1,post_content,ashwiniisharmaa,Beauty,C8yhnI_qGP6,https://www.instagram.com/Ashwiniisharmaa/reel/C8yhnI_qGP6/,reel,Jun-24,2026-02-04T00:00:00+05:30,Is the viral Lifter Gloss worth the hype??? 😭😭😭,,0,null,221.4K,4K,null,visible_ui_only,,,,,,,,,,,,,,,,
